model,nbins,eweight,fweight,label,group,weight_type,train_or_test,row_type,ncount,mae,rmse,rsq
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk10,unweighted,training,energy,31.0,0.0576774,0.0576955,-0.0733289
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk10,unweighted,training,force,186.0,3.08756e-05,3.99637e-05,0.972847
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk10,unweighted,training,stress,186.0,9495.2,13221.9,0.999465
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk10,weighted,training,energy,31.0,0.0576774,0.0576955,-0.0733289
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk10,weighted,training,force,186.0,3.08756e-05,3.99637e-05,0.972847
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk10,weighted,training,stress,186.0,9.4952e-09,1.32219e-08,0.999465
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk11,unweighted,training,energy,31.0,0.14543,0.458611,0.952824
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk11,unweighted,training,force,192.0,2.18662e-05,3.24092e-05,0.977662
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk11,unweighted,training,stress,186.0,16345.0,40075.5,0.995225
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk11,weighted,training,energy,31.0,0.14543,0.458611,0.952824
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk11,weighted,training,force,192.0,2.18662e-05,3.24092e-05,0.977662
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk11,weighted,training,stress,186.0,1.6345e-08,4.00755e-08,0.995225
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk12,unweighted,training,energy,22.0,0.565811,0.80027,0.996406
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk12,unweighted,training,force,198.0,6.37297e-15,9.89671e-15,-0.0912632
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk12,unweighted,training,stress,132.0,568483.0,1261170.0,0.941667
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk12,weighted,training,energy,22.0,0.565811,0.80027,0.996406
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk12,weighted,training,force,198.0,6.37297e-15,9.89671e-15,-0.0912632
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk12,weighted,training,stress,132.0,5.68483e-07,1.26117e-06,0.941667
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk2,unweighted,training,energy,31.0,0.0192063,0.0225622,0.94345
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk2,unweighted,training,force,2760.0,0.0468636,0.090383,0.997756
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk2,unweighted,training,stress,186.0,4016.64,5850.83,0.999574
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk2,weighted,training,energy,31.0,0.0192063,0.0225622,0.94345
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk2,weighted,training,force,2760.0,0.0468636,0.090383,0.997756
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk2,weighted,training,stress,186.0,4.01664e-09,5.85083e-09,0.999574
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk3,unweighted,training,energy,31.0,0.0712972,0.0882156,0.9965
